CourseTitle ,Term ,Faculty ,CourseSection ,Area ,Campus ,Meeting Pattern ,Class ,InstructorOverall ,Learning ,Difficulty ,Global ,Examples ,Workload ,Total Responses ,Number of enrollees
Growth Strategy Practicum ,Spring 2017 ,"O'Connor, Karin" ,STRTX-940-0 (104) ,STRTX ,Evanston ,TBA  ,4.2 ,4.2 ,4.4 ,4.7 ,3.9 ,4.4 ,3.1 ,32 ,65
C Suite and Boardroom Dynamics ,Spring 2017 ,"Patel, Homi" ,MKTG-940-0 (81) ,MKTG ,Evanston ,Mon 6:30PM - 9:30PM ,4.1 ,4.6 ,4.7 ,4.0 ,4.7 ,5.4 ,2.1 ,34 ,44
Finance II ,Spring 2017 ,"Mezzanotti, Filippo" ,FINC-431-0 (70) ,FINC ,Chicago ,Wed 6:00PM - 9:00PM ,4.1 ,4.5 ,4.8 ,5.4 ,4.5 ,5.2 ,4.0 ,45 ,53
Entrepreneurial Finance and Venture Capital ,Spring 2017 ,"Baker, Scott" ,FINC-445-0 (80) ,FINC ,Evanston ,Tue 1:30PM - 4:30PM ,4.1 ,4.2 ,4.7 ,4.7 ,4.3 ,4.9 ,3.3 ,35 ,42
The Chief Marketing Officer in the Digital Age ,Spring 2017 ,"Carpenter, Gregory" ,MKTGX-954-0 (106) ,MKTGX ,Evanston ,TBA  ,4.1 ,4.0 ,4.2 ,3.9 ,4.3 ,4.3 ,2.8 ,12 ,52
Global Initiatives in Management (GIM) ,Spring 2017 ,"Lansberg-Rodriguez, Daniel" ,INTLM-473-0 (1) ,INTLM ,Chicago ,Tue/Thu 1:00PM - 4:00PM ,4.1 ,4.0 ,4.4 ,4.3 ,5.2 ,4.7 ,2.9 ,22 ,27
Business Strategy ,Spring 2017 ,"Markovich, Sarit" ,STRTL-420-0 (1) ,STRTL ,Evanston ,Non-Standard Meetings ,4.0 ,6.0 ,4.5 ,5.0 ,5.5 ,5.5 ,3.5 ,2 ,22
Enterprise Risk Management ,Spring 2017 ,"Walker, Russell" ,OPNS-923-0 (81) ,OPNS ,Evanston ,Mon 6:30PM - 9:30PM ,4.0 ,4.4 ,4.3 ,4.2 ,5.5 ,5.2 ,2.1 ,13 ,17
eCommerce and Digital Marketing ,Spring 2017 ,"Chernoff, Josh" ,MKTG-957-0 (70) ,MKTG ,Chicago ,Thu 6:00PM - 9:00PM ,4.0 ,4.2 ,4.5 ,4.1 ,4.3 ,5.1 ,2.9 ,25 ,27
Customer Analytics ,Spring 2017 ,"Yao, Song" ,MKTG-953-0 (70) ,MKTG ,Chicago ,Mon 6:00PM - 9:00PM ,4.0 ,4.1 ,4.6 ,4.5 ,4.1 ,4.3 ,3.1 ,8 ,11
Omnichannel Experience Strategy ,Spring 2017 ,"Kolsky, Richard" ,MKTG-451-0 (61) ,MKTG ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,4.0 ,4.1 ,4.4 ,4.3 ,4.7 ,4.8 ,2.6 ,30 ,38
Health Care Quality ,Spring 2017 ,"Boissonnault, Bruce" ,HEMA-922-5 (81) ,HEMA ,Evanston ,Thu 6:30PM - 9:30PM ,3.9 ,3.7 ,4.1 ,4.0 ,4.2 ,4.1 ,2.8 ,9 ,15
Product Management for Technology Companies: An Entrepreneurial Perspective ,Spring 2017 ,"Sawhney, Mohanbir" ,KIEI-932-0 (62) ,KIEI ,Evanston ,Tue/Fri 1:30PM - 3:00PM ,3.8 ,4.0 ,4.4 ,4.3 ,4.8 ,5.0 ,3.2 ,32 ,42
Pharmaceutical Strategy ,Spring 2017 ,"Kyle, Margaret" ,HEMA-931-5 (81) ,HEMA ,Evanston ,Tue 6:30PM - 9:30PM ,3.8 ,3.9 ,4.2 ,3.7 ,5.3 ,4.8 ,2.1 ,28 ,41
Stochastic Foundations ,Spring 2017 ,"Bassamboo, Achal" ,OPNS-516-0 (21) ,OPNS ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,3.8 ,3.5 ,4.5 ,5.3 ,3.5 ,3.3 ,4.5 ,4 ,20
Medical Technologies in Developing Countries ,Spring 2017 ,"Dintruff, Robert" ,KPPI-973-5 (61) ,KPPI ,Evanston ,Wed 6:30PM - 9:30PM ,3.7 ,3.7 ,4.3 ,4.5 ,5.3 ,4.5 ,2.7 ,15 ,26
Behavioral Marketing Science ,Spring 2017 ,"Lee, Angela" ,MKTG-959-5 (81) ,MKTG ,Evanston ,Tue 6:30PM - 9:30PM ,3.7 ,3.7 ,4.4 ,4.2 ,4.4 ,3.6 ,2.4 ,23 ,27
Technology and Innovation Strategy ,Spring 2017 ,"Reich, Bryony" ,STRT-463-0 (70) ,STRT ,Chicago ,Mon 6:00PM - 9:00PM ,3.6 ,3.3 ,4.5 ,3.8 ,4.1 ,4.5 ,2.2 ,43 ,60
People Analytics and Strategy ,Spring 2017 ,"Friedrich, Benjamin" ,STRT-440-0 (61) ,STRT ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,3.5 ,4.1 ,4.2 ,4.4 ,4.3 ,4.4 ,3.0 ,46 ,54
Analytics for Strategy ,Spring 2017 ,"Prager, Elena" ,STRT-469-0 (61) ,STRT ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,3.5 ,4.0 ,4.2 ,4.8 ,3.8 ,4.0 ,3.2 ,44 ,57
Leading and Managing Teams ,Spring 2017 ,"Kouchaki, Maryam" ,MORS-460-0 (81) ,MORS ,Evanston ,Tue 6:30PM - 9:30PM ,3.5 ,4.0 ,4.3 ,4.0 ,4.5 ,4.0 ,3.0 ,26 ,30
Digital Marketing Implementation and Strategy ,Spring 2017 ,"Johnson, Garrett" ,MKTG-956-0 (61) ,MKTG ,Evanston ,Mon/Thu 8:30AM - 10:00AM ,3.5 ,3.5 ,4.0 ,3.7 ,3.9 ,4.4 ,2.4 ,46 ,52
Operations Management ,Spring 2017 ,"Lariviere, Martin" ,OPNSX-430-0 (109) ,OPNSX ,Off Campus ,TBA  ,3.5 ,3.2 ,4.1 ,3.8 ,4.5 ,4.4 ,2.9 ,13 ,52
Digital Marketing Implementation and Strategy ,Spring 2017 ,"Johnson, Garrett" ,MKTG-956-0 (62) ,MKTG ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,3.4 ,3.5 ,4.3 ,4.0 ,4.3 ,4.6 ,2.5 ,35 ,42
Marketing Strategy ,Spring 2017 ,"Krishnamurthi, Lakshman" ,MKTGX-466-0 (110) ,MKTGX ,Evanston ,TBA  ,3.4 ,3.5 ,3.9 ,3.7 ,4.4 ,4.6 ,3.7 ,47 ,68
Operations Management ,Spring 2017 ,"Russo, Daniel" ,OPNS-430-0 (71) ,OPNS ,Chicago ,Mon 6:00PM - 9:00PM ,3.4 ,3.3 ,4.0 ,3.8 ,3.8 ,4.1 ,2.8 ,51 ,56
Managing Organizations for Growth ,Spring 2017 ,"Ocasio, William" ,MORS-946-5 (80) ,MORS ,Evanston ,Fri 1:30PM - 4:30PM ,3.3 ,3.5 ,3.7 ,3.6 ,3.5 ,4.2 ,2.6 ,26 ,37
eCommerce and Digital Marketing ,Spring 2017 ,"Khan, Romana" ,MKTG-957-0 (61) ,MKTG ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,3.3 ,3.0 ,3.7 ,3.4 ,3.3 ,4.6 ,2.3 ,19 ,24
Customer Analytics ,Spring 2017 ,"Yao, Song" ,MKTG-953-0 (61) ,MKTG ,Evanston ,Tue/Fri 8:30AM - 10:00AM ,3.3 ,2.7 ,3.9 ,4.1 ,3.9 ,4.0 ,3.3 ,26 ,53
Thought Leadership Seminar ,Spring 2017 ,"Calder, Bobby" ,MKTG-484-5 (81) ,MKTG ,Evanston ,Thu 6:30PM - 9:30PM ,3.2 ,3.3 ,3.2 ,3.7 ,4.2 ,4.0 ,2.5 ,6 ,17
Ethics & Executive Leadership ,Spring 2017 ,"Waytz, Adam" ,KPPIX-472-0 (104) ,KPPIX ,Evanston ,TBA  ,3.1 ,3.8 ,3.4 ,3.1 ,4.5 ,4.1 ,2.0 ,21 ,58
Managerial Finance I ,Spring 2017 ,"Korajczyk, Robert" ,FINCX-430-0 (111) ,FINCX ,Off Campus ,TBA  ,3.1 ,3.2 ,3.6 ,3.5 ,3.2 ,3.3 ,3.1 ,39 ,52
Game Theory and Strategic Decisions ,Spring 2017 ,"Shmaya, Eran" ,DECS-452-0 (61) ,DECS ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,3.1 ,3.1 ,3.7 ,4.0 ,3.4 ,3.1 ,2.4 ,42 ,45
Analytics for Strategy ,Spring 2017 ,"Prager, Elena" ,STRT-469-0 (70) ,STRT ,Chicago ,Tue 6:00PM - 9:00PM ,3.0 ,4.0 ,3.9 ,4.6 ,3.6 ,4.1 ,4.3 ,32 ,33
Operations Management ,Spring 2017 ,"Lariviere, Martin" ,OPNS-430-0 (64) ,OPNS ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,2.9 ,2.9 ,3.7 ,3.6 ,3.5 ,3.7 ,2.5 ,56 ,65
Operations Management ,Spring 2017 ,"Lariviere, Martin" ,OPNS-430-0 (63) ,OPNS ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,2.7 ,2.7 ,3.3 ,3.4 ,3.3 ,3.7 ,2.4 ,55 ,65
Technology and Innovation Strategy ,Spring 2017 ,"Reich, Bryony" ,STRT-463-0 (61) ,STRT ,Evanston ,Tue/Fri 1:30PM - 3:00PM ,2.7 ,2.4 ,3.6 ,2.7 ,3.7 ,4.0 ,2.0 ,40 ,50
Applied Advanced Analytics ,Spring 2017 ,"Deshmukh, Sudhakar" ,OPNS-940-0 (61) ,OPNS ,Evanston ,Tue/Fri 3:30PM - 5:00PM ,2.3 ,2.3 ,3.0 ,2.5 ,2.8 ,2.9 ,2.8 ,38 ,60
Health Analytics ,Spring 2017 ,"Barrette, Eric" ,HEMA-940-5 (81) ,HEMA ,Evanston ,Tue 6:30PM - 9:30PM ,2.2 ,2.7 ,2.8 ,2.9 ,3.2 ,2.7 ,2.5 ,13 ,23
Special Topics in Management and Organizations: Macro ,Winter 2017 ,"Ocasio, William" ,MORS-521-2 (21) ,MORS ,Evanston ,Fri 10:00AM - 1:00PM ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,3.8 ,4 ,5
Asset Pricing II ,Winter 2017 ,"Papanikolaou, Dimitris" ,FINC-585-2 (21) ,FINC ,Evanston ,Tue 3:30PM - 6:30PM ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,2 ,3
Corporate Finance II ,Winter 2017 ,"Benmelech, Efraim" ,FINC-586-2 (21) ,FINC ,Evanston ,Fri 9:00AM - 12:00PM ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,5.4 ,5 ,5
Private Equity Lab ,Winter 2017 ,"Xenakis, Michael" ,FINC-939-0 (SF) ,FINC ,Off Campus ,TBA  ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,2.0 ,1 ,2
Economic Theory III: Doing Research in Economic Theory and Related Areas ,Winter 2017 ,"Sandroni, Alvaro" ,MECS-550-3 (21) ,MECS ,Evanston ,Tue 6:30PM - 9:30PM ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,5.0 ,1 ,2
Economics of Organizations I: Organizations and Markets ,Winter 2017 ,"Powell, Michael" ,MECS-570-1 (21) ,MECS ,Evanston ,Tue/Thu 9:00AM - 10:30AM ,6.0 ,6.0 ,6.0 ,6.0 ,5.8 ,5.8 ,3.8 ,4 ,4
Special Topics in Consumer Research ,Winter 2017 ,"Labroo, Aparna" ,MKTG-540-0 (21) ,MKTG ,Evanston ,Tue 9:00AM - 12:15PM ,6.0 ,6.0 ,6.0 ,6.0 ,5.8 ,6.0 ,3.3 ,4 ,8
Special Topics in Consumer Research ,Winter 2017 ,"Rucker, Derek" ,MKTG-540-0 (21) ,MKTG ,Evanston ,Tue 9:00AM - 12:15PM ,6.0 ,6.0 ,6.0 ,6.0 ,5.8 ,6.0 ,3.3 ,4 ,8
Empirical Research in Accounting II ,Winter 2017 ,"Lyle, Matthew" ,ACCT-540-2 (21) ,ACCT ,Evanston ,Wed/Fri 3:00PM - 6:00PM ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,5.0 ,1 ,3
Empirical Research in Accounting II ,Winter 2017 ,"Wang, Clare" ,ACCT-540-2 (21) ,ACCT ,Evanston ,Wed/Fri 3:00PM - 6:00PM ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,5.0 ,1 ,3
Research in Accounting Theory II ,Winter 2017 ,"Sridharan, Swaminathan" ,ACCT-550-2 (21) ,ACCT ,Evanston ,Mon 1:00PM - 4:00PM ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,1 ,1
Marketing Research and Analytics ,Winter 2017 ,"Goldsmith, Kelly" ,MKTG-450-0 (61) ,MKTG ,Evanston ,Tue/Fri 1:30PM - 3:00PM ,5.9 ,6.0 ,5.9 ,5.6 ,5.1 ,5.7 ,2.9 ,14 ,21
Global Entrepreneurial Finance ,Winter 2017 ,"Liberti, Jose Maria" ,FINC-945-0 (61) ,FINC ,Evanston ,Tue 1:30PM - 4:30PM ,5.9 ,6.0 ,5.9 ,6.0 ,6.0 ,5.9 ,5.9 ,43 ,45
"Mergers and Acquisitions, LBOs and Corporate Restructuring" ,Winter 2017 ,"Liberti, Jose Maria" ,FINC-448-0 (81) ,FINC ,Evanston ,Wed 6:30PM - 9:30PM ,5.9 ,6.0 ,6.0 ,6.0 ,5.5 ,5.9 ,5.9 ,29 ,32
Global Corporate Restructuring ,Winter 2017 ,"Liberti, Jose Maria" ,FINCX-448-0 (MA1) ,FINCX ,Off Campus ,TBA  ,5.9 ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,5.5 ,35 ,69
The World Economy ,Winter 2017 ,"Rebelo, Sergio" ,FINCX-450-0 (EA2) ,FINCX ,Evanston ,TBA  ,5.9 ,5.9 ,5.9 ,5.9 ,6.0 ,6.0 ,1.7 ,15 ,41
Personal Leadership Insights ,Winter 2017 ,"Vuckovic, Brooke" ,KACI-461-5 (63) ,KACI ,Evanston ,Tue 10:30AM - 12:00PM ,5.9 ,5.9 ,5.7 ,5.3 ,5.4 ,5.4 ,2.7 ,9 ,10
Financial Modeling for Leveraged Buyout Transactions ,Winter 2017 ,"Saraiya, Chirag" ,FINC-940-5 (30) ,FINC ,Chicago ,Wed 6:00PM - 9:00PM ,5.9 ,5.9 ,5.8 ,5.6 ,5.2 ,5.5 ,3.3 ,15 ,17
Marketing Research and Analytics ,Winter 2017 ,"Goldsmith, Kelly" ,MKTG-450-0 (62) ,MKTG ,Evanston ,Tue/Fri 3:30PM - 5:00PM ,5.8 ,5.9 ,5.8 ,5.6 ,4.9 ,5.6 ,3.2 ,12 ,13
Negotiations ,Winter 2017 ,"Kteily, Nour" ,MORSM-470-0 (1) ,MORSM ,Chicago ,Thu 9:00AM - 12:00PM ,5.8 ,5.9 ,5.9 ,5.6 ,5.8 ,5.8 ,2.8 ,29 ,29
Negotiations ,Winter 2017 ,"Kteily, Nour" ,MORSM-470-0 (2) ,MORSM ,Chicago ,Thu 1:30PM - 4:30PM ,5.8 ,5.9 ,5.7 ,5.5 ,5.6 ,5.6 ,2.5 ,21 ,26
Leadership and Organizations ,Winter 2017 ,"Uzzi, Brian" ,MORSX-431-0 (110) ,MORSX ,Evanston ,TBA  ,5.8 ,5.7 ,5.8 ,5.8 ,5.5 ,5.7 ,3.5 ,57 ,68
Venture Investing ,Winter 2017 ,"Sapienza, Paola" ,FINC-980-5 (SF) ,FINC ,Off Campus ,TBA  ,5.8 ,5.7 ,5.8 ,6.0 ,4.8 ,5.3 ,4.3 ,6 ,12
Social Processes in Organizations ,Winter 2017 ,"Brett, Jeanne" ,MORS-524-2 (21) ,MORS ,Evanston ,Thu 1:00PM - 4:00PM ,5.7 ,6.0 ,5.8 ,5.8 ,6.0 ,5.8 ,3.5 ,6 ,16
Public Economics for Business Leaders: Federal Policy ,Winter 2017 ,"Besanko, David" ,KPPI-470-0 (62) ,KPPI ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,5.7 ,5.9 ,5.7 ,5.9 ,5.9 ,5.8 ,3.7 ,57 ,60
Customer Analytics ,Winter 2017 ,"Zettelmeyer, Florian" ,MKTG-953-0 (61) ,MKTG ,Evanston ,Mon/Thu 8:30AM - 10:00AM ,5.7 ,5.8 ,5.8 ,5.8 ,5.1 ,5.7 ,3.6 ,56 ,65
Social Dynamics and Network Analytics ,Winter 2017 ,"Pah, Adam" ,MORS-945-0 (SF) ,MORS ,Off Campus ,TBA  ,5.7 ,5.8 ,5.7 ,5.6 ,5.3 ,5.6 ,3.4 ,11 ,13
Marketing Management ,Winter 2017 ,"Labroo, Aparna" ,MKTGX-430-0 (110) ,MKTGX ,Evanston ,TBA  ,5.7 ,5.8 ,5.8 ,5.7 ,5.7 ,5.8 ,3.8 ,67 ,68
Innovation Strategy & Management ,Winter 2017 ,"Wolcott, Robert" ,STRTX-450-0 (MA1) ,STRTX ,Off Campus ,TBA  ,5.7 ,5.7 ,5.6 ,5.6 ,5.6 ,5.8 ,3.0 ,27 ,52
Healthcare Strategy ,Winter 2017 ,"Garthwaite, Craig" ,STRT-945-0 (61) ,STRT ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,5.7 ,5.6 ,5.7 ,5.8 ,4.5 ,5.6 ,3.6 ,41 ,62
Managing Firms for Shareholders and Society: Thought Leadership Seminar ,Winter 2017 ,"Matsa, David" ,FINC-484-5 (61) ,FINC ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,5.7 ,5.5 ,5.1 ,5.7 ,5.2 ,5.8 ,2.6 ,15 ,16
New Venture Discovery ,Winter 2017 ,"Cast, Carter" ,KIEI-462-0 (61) ,KIEI ,Evanston ,Tue 1:30PM - 4:30PM ,5.6 ,5.9 ,5.8 ,5.7 ,4.5 ,5.5 ,3.5 ,32 ,32
Advertising Strategy ,Winter 2017 ,"Rucker, Derek" ,MKTGX-454-0 (MA2) ,MKTGX ,Off Campus ,TBA  ,5.6 ,5.8 ,5.8 ,5.4 ,5.1 ,5.6 ,2.7 ,18 ,44
Negotiations ,Winter 2017 ,"Medvec, Victoria" ,MORS-470-0 (62) ,MORS ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,5.6 ,5.7 ,5.9 ,5.7 ,4.6 ,5.6 ,3.4 ,66 ,73
Visualization for Persuasion ,Winter 2017 ,"Franconeri, Steven" ,KACIX-925-0 (EW1) ,KACIX ,Evanston ,TBA  ,5.6 ,5.7 ,5.8 ,5.6 ,5.4 ,5.7 ,3.6 ,47 ,68
Personal Leadership Insights ,Winter 2017 ,"Carroll, Shana" ,KACI-461-5 (76) ,KACI ,Chicago ,Sat 1:30PM - 4:30PM ,5.6 ,5.7 ,5.6 ,5.7 ,4.9 ,5.1 ,2.8 ,10 ,10
Macroeconomic Policy and Global Capital Markets ,Winter 2017 ,"Crouzet, Nicolas" ,FINC-941-0 (70) ,FINC ,Chicago ,Tue 6:00PM - 9:00PM ,5.6 ,5.6 ,5.6 ,5.6 ,6.0 ,4.8 ,2.6 ,5 ,11
Managing Firms for Shareholders and Society: Thought Leadership Seminar ,Winter 2017 ,"Matsa, David" ,FINC-484-5 (62) ,FINC ,Evanston ,Tue/Fri 1:30PM - 3:00PM ,5.6 ,5.6 ,5.0 ,5.4 ,5.1 ,5.8 ,2.5 ,18 ,19
Innovation Strategy & Management ,Winter 2017 ,"Wolcott, Robert" ,STRTX-450-0 (EW2) ,STRTX ,Evanston ,TBA  ,5.6 ,5.6 ,5.6 ,5.6 ,5.7 ,5.7 ,3.6 ,38 ,63
Corporate Finance II ,Winter 2017 ,"Sapienza, Paola" ,FINC-586-2 (21) ,FINC ,Evanston ,Fri 9:00AM - 12:00PM ,5.6 ,5.4 ,5.6 ,5.8 ,5.8 ,5.8 ,5.2 ,5 ,5
Financial Decisions ,Winter 2017 ,"Benmelech, Efraim" ,FINC-442-0 (61) ,FINC ,Evanston ,Mon/Thu 8:30AM - 10:00AM ,5.6 ,5.3 ,5.6 ,5.6 ,5.1 ,5.3 ,4.0 ,21 ,21
Global Initiatives in Management (GIM) ,Winter 2017 ,"Seitz, Tasha" ,INTL-473-0 (89) ,INTL ,Evanston ,Non-Standard Meetings ,5.6 ,5.1 ,5.2 ,4.7 ,5.8 ,5.3 ,2.7 ,20 ,23
Customer Analytics ,Winter 2017 ,"Zettelmeyer, Florian" ,MKTG-953-0 (62) ,MKTG ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,5.5 ,5.9 ,5.7 ,5.8 ,5.0 ,5.7 ,3.8 ,58 ,65
Economics of Competition ,Winter 2017 ,"Baliga, Sandeep" ,MECNX-441-0 (104) ,MECNX ,Evanston ,TBA  ,5.5 ,5.8 ,5.4 ,5.4 ,5.6 ,5.6 ,3.2 ,26 ,45
Public Economics for Business Leaders: Federal Policy ,Winter 2017 ,"Besanko, David" ,KPPI-470-0 (61) ,KPPI ,Evanston ,Tue/Fri 3:30PM - 5:00PM ,5.5 ,5.8 ,5.7 ,5.8 ,6.0 ,5.8 ,4.0 ,43 ,48
Business Analytics II ,Winter 2017 ,"Bianchi, Nicola" ,DECS-431-0 (76) ,DECS ,Chicago ,Sat 9:00AM - 12:00PM ,5.5 ,5.8 ,5.8 ,5.6 ,5.1 ,5.7 ,3.4 ,25 ,31
Leadership and Crisis Management ,Winter 2017 ,"Spenkuch, Jorg" ,KPPI-440-5 (72) ,KPPI ,Chicago ,Non-Standard Meetings ,5.5 ,5.7 ,5.6 ,5.2 ,5.6 ,5.8 ,1.9 ,36 ,59
Omnichannel Experience Strategy ,Winter 2017 ,"Kolsky, Richard" ,MKTG-451-0 (70) ,MKTG ,Chicago ,Fri 6:00PM - 9:00PM ,5.5 ,5.7 ,5.6 ,5.5 ,5.5 ,5.6 ,3.1 ,22 ,26
Marketing Strategy for Growth and Defense ,Winter 2017 ,"Hennessy, Julie" ,MKTG-466-0 (61) ,MKTG ,Evanston ,Tue/Fri 8:30AM - 10:00AM ,5.5 ,5.6 ,5.4 ,5.3 ,5.4 ,5.6 ,3.4 ,47 ,63
Frameworks for Strategic Analysis ,Winter 2017 ,"Busse, Meghan" ,STRTX-430-0 (111) ,STRTX ,Off Campus ,TBA  ,5.5 ,5.6 ,5.6 ,5.7 ,5.6 ,5.8 ,4.0 ,52 ,52
Negotiations ,Winter 2017 ,"Medvec, Victoria" ,MORS-470-0 (61) ,MORS ,Evanston ,Mon/Thu 8:30AM - 10:00AM ,5.5 ,5.6 ,5.9 ,5.4 ,4.3 ,5.5 ,3.1 ,65 ,72
Negotiations Fundamentals ,Winter 2017 ,"Finkel, Eli" ,MORS-472-5 (80) ,MORS ,Evanston ,Fri 1:30PM - 4:30PM ,5.5 ,5.6 ,5.7 ,5.4 ,4.7 ,5.3 ,2.9 ,32 ,36
Leadership and Organizations ,Winter 2017 ,"Uzzi, Brian" ,MORSX-431-0 (111) ,MORSX ,Off Campus ,TBA  ,5.5 ,5.6 ,6.0 ,5.8 ,5.4 ,5.8 ,3.9 ,14 ,55
Marketing Strategy ,Winter 2017 ,"Chernev, Alexander" ,MKTGX-466-0 (108) ,MKTGX ,Evanston ,TBA  ,5.5 ,5.5 ,5.7 ,5.7 ,5.5 ,5.6 ,3.9 ,37 ,66
Foundations for Strategy Formulation ,Winter 2017 ,"Mazzeo, Michael" ,STRTX-431-0 (109) ,STRTX ,Off Campus ,TBA  ,5.5 ,5.4 ,5.5 ,5.4 ,5.4 ,5.7 ,3.5 ,23 ,54
Global Initiatives in Management (GIM) ,Winter 2017 ,"Ma, Damien" ,INTL-473-0 (81) ,INTL ,Evanston ,Mon 6:30PM - 9:30PM ,5.5 ,5.3 ,5.4 ,5.1 ,5.8 ,5.7 ,2.3 ,30 ,38
Personal Leadership Insights ,Winter 2017 ,"Langewisch, Robert" ,KACI-461-5 (71) ,KACI ,Chicago ,Mon 6:00PM - 9:00PM ,5.5 ,5.3 ,5.6 ,5.2 ,5.1 ,5.2 ,2.0 ,10 ,10
Real Estate Finance and Investments ,Winter 2017 ,"Nathanson, Charles" ,FINC-454-0 (62) ,FINC ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,5.5 ,5.3 ,5.8 ,5.6 ,5.1 ,5.8 ,3.3 ,12 ,12
Venture Lab ,Winter 2017 ,"Stowell, David" ,FINC-915-0 (61) ,FINC ,Evanston ,Wed  ,5.5 ,4.1 ,4.9 ,5.6 ,4.8 ,5.0 ,5.0 ,11 ,36
Marketing Strategy for Growth and Defense ,Winter 2017 ,"Hennessy, Julie" ,MKTG-466-0 (62) ,MKTG ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,5.4 ,5.6 ,5.2 ,5.4 ,5.2 ,5.5 ,3.3 ,50 ,63
Marketing Research and Analytics ,Winter 2017 ,"Goldsmith, Kelly" ,MKTGM-450-0 (1) ,MKTGM ,Chicago ,Mon 1:30PM - 4:30PM ,5.4 ,5.6 ,5.8 ,5.4 ,5.0 ,5.6 ,2.8 ,21 ,50
Negotiations Fundamentals ,Winter 2017 ,"Finkel, Eli" ,MORS-472-5 (61) ,MORS ,Evanston ,Tue 1:30PM - 4:30PM ,5.4 ,5.6 ,5.5 ,5.3 ,4.1 ,5.1 ,2.9 ,35 ,36
Leadership in Organizations ,Winter 2017 ,"Nordgren, Loran" ,MORS-430-0 (71) ,MORS ,Chicago ,Wed 6:00PM - 9:00PM ,5.4 ,5.6 ,5.6 ,4.9 ,4.6 ,5.5 ,2.6 ,46 ,48
Analytical Approach to Uncertainty ,Winter 2017 ,"Kalai, Ehud" ,DECSX-433-0 (110) ,DECSX ,Evanston ,TBA  ,5.4 ,5.6 ,5.6 ,5.4 ,4.9 ,5.3 ,3.4 ,64 ,67
Healthcare Strategy ,Winter 2017 ,"Garthwaite, Craig" ,STRT-945-0 (62) ,STRT ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,5.4 ,5.5 ,5.5 ,5.8 ,4.6 ,5.7 ,3.7 ,39 ,63
Startup Programming and Management ,Winter 2017 ,"Cohen, Jeffrey" ,KIEI-925-0 (80) ,KIEI ,Evanston ,Fri 1:30PM - 4:30PM ,5.4 ,5.5 ,5.7 ,5.7 ,5.2 ,5.5 ,3.6 ,17 ,21
Money Markets and the Fed ,Winter 2017 ,"Marshall, David" ,FINC-451-0 (30) ,FINC ,Chicago ,Mon 6:00PM - 9:00PM ,5.4 ,5.5 ,5.7 ,5.5 ,5.7 ,5.9 ,3.1 ,14 ,19
Launching and Leading Startups ,Winter 2017 ,"Morehead, Brad" ,KIEI-967-0 (61) ,KIEI ,Evanston ,Tue 1:30PM - 4:30PM ,5.4 ,5.4 ,5.3 ,5.2 ,4.5 ,5.6 ,2.9 ,27 ,28
Venture Lab ,Winter 2017 ,"Xenakis, Michael" ,FINC-915-0 (SF) ,FINC ,Off Campus ,TBA  ,5.3 ,6.0 ,5.8 ,5.3 ,5.0 ,5.5 ,5.0 ,4 ,10
Business Analytics II ,Winter 2017 ,"Bianchi, Nicola" ,DECS-431-0 (71) ,DECS ,Chicago ,Thu 6:00PM - 9:00PM ,5.3 ,5.9 ,5.5 ,5.5 ,5.0 ,5.4 ,3.4 ,36 ,38
Special Topics in Marketing: Problems and Solutions in Applied Data Analyses ,Winter 2017 ,"Bockenholt, Ulf" ,MKTG-530-1 (21) ,MKTG ,Evanston ,Mon 3:00PM - 6:00PM ,5.3 ,5.8 ,5.8 ,6.0 ,5.8 ,5.7 ,3.5 ,4 ,10
