CourseTitle ,Term ,Faculty ,CourseSection ,Area ,Campus ,Meeting Pattern ,Class ,InstructorOverall ,Learning ,Difficulty ,Global ,Examples ,Workload ,Total Responses ,Number of enrollees
Macroeconomic Policy and Global Capital Markets ,Spring 2019 ,"Crouzet, Nicolas" ,FINC-473-0 (32) ,FINC ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,5.4 ,5.5 ,5.5 ,5.7 ,5.9 ,5.7 ,2.8 ,41 ,50
Financial Reporting and Analysis ,Spring 2019 ,"Finn, Mark" ,ACCT-451-0 (32) ,ACCT ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,5.3 ,5.8 ,5.5 ,5.4 ,5.9 ,5.9 ,3.0 ,20 ,27
Creating & Managing Strategic Alliances ,Spring 2019 ,"Zajac, Edward" ,MORSX-454-0 (MW1) ,MORSX ,Off Campus ,TBA  ,5.3 ,5.7 ,5.7 ,5.2 ,5.3 ,5.5 ,3.1 ,38 ,52
Persuasive Presentations ,Spring 2019 ,"Van Camp, Karen" ,KACI-450-0 (81) ,KACI ,Chicago ,Sat 1:30PM - 4:30PM ,5.3 ,5.7 ,5.5 ,5.2 ,5.0 ,5.0 ,2.7 ,22 ,35
Game Theory and Strategic Decisions ,Spring 2019 ,"Dale, Donald" ,MECN-452-0 (32) ,MECN ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,5.3 ,5.6 ,5.3 ,5.3 ,4.7 ,5.0 ,2.5 ,60 ,65
Managerial Economics ,Spring 2019 ,"Schummer, James" ,MECNX-430-0 (119) ,MECNX ,Off Campus ,TBA  ,5.3 ,5.6 ,5.4 ,5.6 ,5.2 ,5.4 ,3.5 ,49 ,59
Marketing Strategy for Growth and Defense ,Spring 2019 ,"Hennessy, Julie" ,MKTG-466-0 (31) ,MKTG ,Evanston ,Tue/Fri 8:30AM - 10:00AM ,5.3 ,5.6 ,5.3 ,5.3 ,4.7 ,5.6 ,3.5 ,52 ,66
Marketing Strategy for Growth and Defense ,Spring 2019 ,"Lecinski, James" ,MKTG-466-0 (41) ,MKTG ,Evanston ,Tue 1:30PM - 4:30PM ,5.3 ,5.6 ,5.5 ,4.9 ,5.0 ,5.6 ,3.1 ,51 ,65
Managerial Economics ,Spring 2019 ,"Schummer, James" ,MECNX-430-0 (118) ,MECNX ,Evanston ,TBA  ,5.3 ,5.5 ,5.6 ,5.6 ,5.3 ,5.4 ,3.4 ,65 ,72
Operations Management ,Spring 2019 ,"Iravani, Seyed" ,OPNS-430-0 (81) ,OPNS ,Chicago ,Sat 1:30PM - 4:30PM ,5.3 ,5.5 ,5.5 ,5.4 ,5.2 ,5.5 ,3.2 ,45 ,48
Leading and Managing Diverse Organizations ,Spring 2019 ,"Pearce, Nicholas" ,MORSX-462-0 (MW2) ,MORSX ,Off Campus ,TBA  ,5.3 ,5.4 ,5.6 ,5.6 ,4.8 ,5.2 ,3.7 ,23 ,33
Negotiations Fundamentals ,Spring 2019 ,"Finkel, Eli" ,MORS-472-5 (44) ,MORS ,Evanston ,Tue 1:30PM - 4:30PM ,5.3 ,5.4 ,5.7 ,5.4 ,4.8 ,5.5 ,2.5 ,35 ,36
Negotiations Fundamentals ,Spring 2019 ,"Kteily, Nour" ,MORS-472-5 (42) ,MORS ,Evanston ,Tue 6:30PM - 9:30PM ,5.3 ,5.4 ,5.5 ,5.5 ,4.6 ,5.2 ,2.6 ,36 ,36
Ethics and Leadership ,Spring 2019 ,"Feddersen, Timothy" ,KPPI-460-0 (81) ,KPPI ,Chicago ,Thu 6:00PM - 9:00PM ,5.3 ,5.4 ,5.3 ,5.5 ,5.2 ,5.3 ,2.4 ,18 ,19
Macroeconomic Policy and Global Capital Markets ,Spring 2019 ,"Crouzet, Nicolas" ,FINC-473-0 (81) ,FINC ,Chicago ,Sat 9:00AM - 12:00PM ,5.3 ,5.4 ,5.7 ,5.7 ,5.9 ,5.8 ,2.8 ,18 ,27
Managerial Accounting ,Spring 2019 ,"Lyle, Matthew" ,ACCT-431-0 (81) ,ACCT ,Chicago ,Fri 6:00PM - 9:00PM ,5.3 ,5.4 ,5.8 ,5.6 ,5.3 ,5.3 ,2.9 ,9 ,11
Leader as Coach ,Spring 2019 ,"Ellington Booth, Brenda" ,KACI-462-0 (31) ,KACI ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,5.3 ,5.2 ,5.6 ,5.1 ,4.4 ,4.8 ,2.5 ,35 ,36
Personal Leadership Insights ,Spring 2019 ,"Langewisch, Robert" ,KACI-461-5 (34) ,KACI ,Evanston ,Tue 10:30AM - 12:00PM ,5.3 ,4.9 ,5.4 ,5.0 ,4.6 ,4.6 ,2.4 ,11 ,12
Venture Lab ,Spring 2019 ,"Stowell, David" ,FINC-615-0 (41) ,FINC ,Evanston ,Non-Standard Meetings ,5.3 ,4.4 ,5.4 ,5.5 ,4.6 ,5.0 ,5.2 ,21 ,42
Negotiations Fundamentals ,Spring 2019 ,"Kteily, Nour" ,MORS-472-5 (41) ,MORS ,Evanston ,Tue 1:30PM - 4:30PM ,5.2 ,5.6 ,5.4 ,5.5 ,4.4 ,5.3 ,2.5 ,31 ,36
Marketing Research and Analytics ,Spring 2019 ,"Bockenholt, Ulf" ,MKTG-450-0 (81) ,MKTG ,Chicago ,Sat 9:00AM - 12:00PM ,5.2 ,5.5 ,5.7 ,5.7 ,5.0 ,5.4 ,3.8 ,19 ,26
Finance II ,Spring 2019 ,"Matsa, David" ,FINC-431-0 (31) ,FINC ,Evanston ,Mon/Thu 8:30AM - 10:00AM ,5.2 ,5.5 ,5.4 ,5.5 ,4.4 ,5.6 ,3.6 ,43 ,50
New Venture Discovery ,Spring 2019 ,"Schonthal, David" ,KIEI-462-0 (41) ,KIEI ,Evanston ,Tue 1:30PM - 4:30PM ,5.2 ,5.4 ,5.4 ,5.4 ,4.0 ,5.1 ,4.2 ,30 ,30
Executive Perspectives on Leadership ,Spring 2019 ,"Kraemer, Harry" ,STRTX-920-0 (112) ,STRTX ,Evanston ,TBA  ,5.2 ,5.4 ,5.4 ,5.2 ,5.3 ,5.5 ,2.5 ,51 ,72
Intellectual Property for Entrepreneurs ,Spring 2019 ,"Conley, James" ,KIEI-935-5 (41) ,KIEI ,Evanston ,Thu 6:30PM - 9:30PM ,5.2 ,5.3 ,5.5 ,5.4 ,5.5 ,5.7 ,2.9 ,13 ,27
Managerial Finance I ,Spring 2019 ,"Furfine, Craig" ,FINCX-430-0 (119) ,FINCX ,Off Campus ,TBA  ,5.2 ,5.3 ,5.3 ,5.6 ,5.0 ,5.2 ,3.5 ,39 ,59
"Critical Issues in the Pharmaceutical, Biotech, and Medical Device Industries" ,Spring 2019 ,"Hughes, Edward" ,HCAK-453-0 (41) ,HCAK ,Evanston ,Wed 6:30PM - 9:30PM ,5.2 ,5.2 ,5.5 ,5.3 ,4.8 ,5.5 ,3.0 ,31 ,41
Customer Analytics ,Spring 2019 ,"McShane, Blake" ,MKTG-482-0 (31) ,MKTG ,Evanston ,Tue/Fri 8:30AM - 10:00AM ,5.2 ,5.0 ,5.7 ,5.5 ,4.5 ,5.2 ,3.7 ,37 ,62
Sustainability Across The Enterprise ,Spring 2019 ,"Weber, Klaus" ,KPPI-936-0 (41) ,KPPI ,Evanston ,Thu 6:30PM - 9:30PM ,5.2 ,4.8 ,5.0 ,4.9 ,5.1 ,5.1 ,3.3 ,12 ,31
"Business Strategy, Behavioral Biases & Deep Uncertainty" ,Spring 2019 ,"Al-Najjar, Nabil" ,MECNX-435-0 (MW2) ,MECNX ,Off Campus ,TBA  ,5.1 ,5.7 ,5.3 ,5.4 ,5.5 ,5.8 ,3.0 ,19 ,26
Finance II ,Spring 2019 ,"Matsa, David" ,FINC-431-0 (32) ,FINC ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,5.1 ,5.6 ,5.6 ,5.8 ,4.6 ,5.6 ,3.5 ,45 ,50
Operations Management ,Spring 2019 ,"Van Mieghem, Jan" ,OPNSX-430-5 (116) ,OPNSX ,Evanston ,TBA  ,5.1 ,5.4 ,5.5 ,5.6 ,5.2 ,5.4 ,3.1 ,58 ,75
The Rookie General Manager ,Spring 2019 ,"White, William" ,OPNS-925-5 (32) ,OPNS ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,5.1 ,5.3 ,5.3 ,5.1 ,4.6 ,4.6 ,3.1 ,58 ,65
Real Estate Finance and Investments ,Spring 2019 ,"Furfine, Craig" ,FINC-454-0 (31) ,FINC ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,5.1 ,5.3 ,5.4 ,5.3 ,4.7 ,5.5 ,3.4 ,55 ,62
Global Financial Management and Reporting ,Spring 2019 ,"Finn, Mark" ,ACCT-457-5 (41) ,ACCT ,Evanston ,Wed 6:30PM - 9:30PM ,5.1 ,5.3 ,5.3 ,5.1 ,5.5 ,5.6 ,3.2 ,30 ,43
Strategic Brand Management ,Spring 2019 ,"Chernev, Alexander" ,MKTG-473-0 (81) ,MKTG ,Chicago ,Tue 6:00PM - 9:00PM ,5.1 ,5.1 ,5.3 ,4.7 ,5.6 ,5.5 ,2.4 ,29 ,56
Operations Management ,Spring 2019 ,"Bassamboo, Achal" ,OPNS-430-0 (31) ,OPNS ,Evanston ,Mon/Thu 8:30AM - 10:00AM ,5.0 ,5.7 ,5.4 ,5.2 ,5.0 ,5.5 ,2.7 ,57 ,65
Operations Management ,Spring 2019 ,"Bassamboo, Achal" ,OPNS-430-0 (32) ,OPNS ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,5.0 ,5.7 ,5.4 ,5.2 ,5.1 ,5.6 ,2.7 ,51 ,65
Finance II ,Spring 2019 ,"Matsa, David" ,FINC-431-0 (33) ,FINC ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,5.0 ,5.6 ,5.5 ,5.6 ,4.7 ,5.6 ,3.5 ,41 ,50
Advanced Board Governance ,Spring 2019 ,"Shaw, Sophia" ,KPPI-471-0 (41) ,KPPI ,Evanston ,Non-Standard Meetings ,5.0 ,5.5 ,5.2 ,4.9 ,4.7 ,5.5 ,2.1 ,26 ,45
Strategy and Organization ,Spring 2019 ,"Powell, Michael" ,STRT-452-0 (31) ,STRT ,Evanston ,Mon/Thu 8:30AM - 10:00AM ,5.0 ,5.5 ,5.2 ,5.1 ,4.5 ,5.4 ,2.4 ,48 ,57
