CourseTitle ,Term ,Faculty ,CourseSection ,Phase ,Area ,Campus ,Meeting Pattern ,Bids ,Closing Cost ,Seats Available ,Total seats ,Enrolled ,Program ,WaitList ,OpenSeats
Negotiations Fundamentals ,Winter 2018 ,"Pearce, Nicholas" ,MORS-472-5 (82) ,Winter 2018 Bidding Phase I ,MORS ,Evanston ,Tue 6:30PM - 9:30PM ,4 ,400 ,4 ,4 ,4 ,Evening ,0 ,0
International Business Strategy ,Winter 2018 ,"Levy, Philip" ,STRT-460-0 (61) ,Winter 2018 Bidding Phase II ,STRT ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,8 ,400 ,3 ,65 ,3 ,Full-Time ,5 ,0
Persuasive Presentations ,Winter 2018 ,"Van Camp, Karen" ,KACI-450-0 (91) ,Winter 2018 Bidding Phase I ,KACI ,Evanston ,Mon 6:30PM - 9:30PM ,56 ,360 ,35 ,36 ,35 ,Full-Time ,21 ,0
Data Exploration ,Winter 2018 ,"McDonald, Robert" ,DECS-922-5 (63) ,Winter 2018 Bidding Phase II ,DECS ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,19 ,351 ,4 ,40 ,4 ,Full-Time ,15 ,0
Marketing Management ,Winter 2018 ,"Grayson, Kent" ,MKTG-430-0 (62) ,Winter 2018 Bidding Phase I ,MKTG ,Evanston ,Mon/Thu 8:30AM - 10:00AM ,137 ,350 ,65 ,65 ,65 ,Full-Time ,64 ,0
The Economics of Energy Markets ,Winter 2018 ,"Busse, Meghan" ,STRT-958-5 (30) ,Winter 2018 Bidding Phase II ,STRT ,Chicago ,Mon 6:00PM - 9:00PM ,2 ,350 ,1 ,9 ,1 ,Full-Time ,1 ,0
Entrepreneurship Through Acquisition ,Winter 2018 ,"Schneider, Alexander" ,KIEI-905-5 (81) ,Winter 2018 Bidding Phase II ,KIEI ,Evanston ,Wed 6:30PM - 9:30PM ,4 ,300 ,2 ,9 ,2 ,Evening ,2 ,0
Marketing Strategy for Growth and Defense ,Winter 2018 ,"Calkins, Timothy" ,MKTG-466-0 (70) ,Winter 2018 Bidding Phase I ,MKTG ,Chicago ,Wed 6:00PM - 9:00PM ,86 ,300 ,58 ,58 ,58 ,Evening ,28 ,0
Strategic Challenges in Emerging Markets ,Winter 2018 ,"Morjaria, Ameet" ,STRT-466-0 (62) ,Winter 2018 Bidding Phase II ,STRT ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,22 ,300 ,9 ,65 ,9 ,Full-Time ,9 ,0
Beyond Diversity: The Fundamentals of Inclusive Leadership ,Winter 2018 ,"Stoudemire, Tyronne" ,MORS-462-5 (70) ,Winter 2018 Bidding Phase II ,MORS ,Chicago ,Thu 6:00PM - 9:00PM ,2 ,300 ,2 ,4 ,2 ,Weekend ,0 ,0
Beyond Diversity: The Fundamentals of Inclusive Leadership ,Winter 2018 ,"Pearce, Nicholas" ,MORS-462-5 (70) ,Winter 2018 Bidding Phase II ,MORS ,Chicago ,Thu 6:00PM - 9:00PM ,2 ,300 ,2 ,4 ,2 ,Weekend ,0 ,0
"Entrepreneurship: Building Innovation, Teams, and Cultures" ,Winter 2018 ,"Dwyer, Joe" ,KIEI-952-5 (81) ,Winter 2018 Bidding Phase I ,KIEI ,Evanston ,Mon 6:30PM - 9:30PM ,10 ,300 ,8 ,8 ,8 ,Evening ,2 ,0
Health and Human Rights ,Winter 2018 ,"Citro, Brian" ,KPPI-933-0 (30) ,Winter 2018 Bidding Phase II ,KPPI ,Chicago ,Mon 6:00PM - 9:00PM ,4 ,300 ,2 ,8 ,2 ,Evening ,2 ,0
Growth Strategy Practicum ,Winter 2018 ,"O'Connor, Karin" ,KIEI-915-0 (80) ,Winter 2018 Bidding Phase I ,KIEI ,Evanston ,Fri 1:30PM - 4:30PM ,4 ,300 ,4 ,4 ,4 ,Evening ,0 ,0
Global Initiatives in Management (GIM) ,Winter 2018 ,"Keeler, Daniel" ,INTL-473-0 (82) ,Winter 2018 Bidding Phase I ,INTL ,Evanston ,Non-Standard Meetings ,11 ,275 ,11 ,11 ,11 ,Evening ,0 ,0
Finance II ,Winter 2018 ,"Matsa, David" ,FINC-431-0 (61) ,Winter 2018 Bidding Phase I ,FINC ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,99 ,261 ,50 ,50 ,50 ,Full-Time ,49 ,0
Launching and Leading Startups ,Winter 2018 ,"Morehead, Brad" ,KIEI-967-0 (61) ,Winter 2018 Bidding Phase I ,KIEI ,Evanston ,Tue 1:30PM - 4:30PM ,87 ,260 ,48 ,50 ,48 ,Full-Time ,39 ,0
Leader as Coach ,Winter 2018 ,"Ellington Booth, Brenda" ,KACI-462-0 (61) ,Winter 2018 Bidding Phase I ,KACI ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,50 ,250 ,35 ,36 ,35 ,Full-Time ,15 ,0
Leading and Managing Teams ,Winter 2018 ,"Kouchaki, Maryam" ,MORS-460-0 (70) ,Winter 2018 Bidding Phase II ,MORS ,Chicago ,Sat 9:00AM - 12:00PM ,4 ,237 ,3 ,36 ,3 ,Weekend ,1 ,0
Personal Leadership Insights ,Winter 2018 ,"Corona, Paul" ,KACI-461-5 (66) ,Winter 2018 Bidding Phase I ,KACI ,Evanston ,Tue 3:30PM - 5:00PM ,20 ,201 ,12 ,12 ,12 ,Full-Time ,8 ,0
Global Entrepreneurial Finance ,Winter 2018 ,"Liberti, Jose Maria" ,FINC-477-0 (80) ,Winter 2018 Bidding Phase I ,FINC ,Evanston ,Tue 6:30PM - 9:30PM ,3 ,200 ,3 ,3 ,3 ,Weekend ,0 ,0
Commercializing Innovations ,Winter 2018 ,"Fadem, Terry" ,KIEI-958-0 (81) ,Winter 2018 Bidding Phase I ,KIEI ,Evanston ,Tue 6:30PM - 9:30PM ,28 ,200 ,17 ,20 ,17 ,Full-Time ,11 ,0
Finance I ,Winter 2018 ,"Nelson Mondragon, John" ,FINC-430-0 (71) ,Winter 2018 Bidding Phase II ,FINC ,Chicago ,Thu 6:00PM - 9:00PM ,6 ,200 ,3 ,65 ,3 ,Evening ,3 ,0
Global Initiatives in Management (GIM) ,Winter 2018 ,"Darragh, Linda" ,INTL-473-0 (83) ,Winter 2018 Bidding Phase I ,INTL ,Evanston ,Non-Standard Meetings ,3 ,200 ,2 ,2 ,2 ,Weekend ,1 ,0
Leader Development Models and Practices ,Winter 2018 ,"Banks, Bernard" ,KACI-930-5 (70) ,Winter 2018 Bidding Phase II ,KACI ,Chicago ,Mon 6:00PM - 9:00PM ,7 ,200 ,4 ,32 ,4 ,Evening ,3 ,0
Leading and Managing Teams ,Winter 2018 ,"Kouchaki, Maryam" ,MORS-460-0 (80) ,Winter 2018 Bidding Phase II ,MORS ,Evanston ,Fri 1:30PM - 4:30PM ,1 ,200 ,1 ,5 ,1 ,Evening ,0 ,0
Personal Leadership Insights ,Winter 2018 ,"Corona, Paul" ,KACI-461-5 (62) ,Winter 2018 Bidding Phase I ,KACI ,Evanston ,Thu 10:30AM - 12:00PM ,21 ,180 ,12 ,12 ,12 ,Full-Time ,9 ,0
"Entrepreneurship: Building Innovation, Teams, and Cultures" ,Winter 2018 ,"Dwyer, Joe" ,KIEI-952-5 (81) ,Winter 2018 Bidding Phase I ,KIEI ,Evanston ,Mon 6:30PM - 9:30PM ,98 ,175 ,32 ,32 ,32 ,Full-Time ,66 ,0
Managing Firms for Shareholders and Society: Thought Leadership Seminar ,Winter 2018 ,"Matsa, David" ,FINC-484-5 (61) ,Winter 2018 Bidding Phase I ,FINC ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,36 ,152 ,20 ,20 ,20 ,Full-Time ,16 ,0
Data Exploration ,Winter 2018 ,"McDonald, Robert" ,DECS-922-5 (62) ,Winter 2018 Bidding Phase II ,DECS ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,25 ,150 ,9 ,40 ,9 ,Full-Time ,16 ,0
Programming for Analytics ,Winter 2018 ,"Farver, Jennifer" ,KMCI-935-0 (80) ,Winter 2018 Bidding Phase I ,KMCI ,Evanston ,Tue 6:30PM - 9:30PM ,7 ,120 ,7 ,7 ,7 ,Evening ,0 ,0
Financial Decisions ,Winter 2018 ,"Benmelech, Efraim" ,FINC-442-0 (62) ,Winter 2018 Bidding Phase II ,FINC ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,10 ,109 ,6 ,50 ,6 ,Full-Time ,2 ,0
Commercializing Innovations ,Winter 2018 ,"Fadem, Terry" ,KIEI-958-0 (81) ,Winter 2018 Bidding Phase II ,KIEI ,Evanston ,Tue 6:30PM - 9:30PM ,1 ,101 ,1 ,5 ,1 ,Evening ,0 ,0
Personal Leadership Insights ,Winter 2018 ,"Ellington Booth, Brenda" ,KACI-461-5 (65) ,Winter 2018 Bidding Phase I ,KACI ,Evanston ,Mon 3:30PM - 5:00PM ,13 ,101 ,12 ,12 ,12 ,Full-Time ,1 ,0
Entrepreneurship Through Acquisition ,Winter 2018 ,"Schneider, Alexander" ,KIEI-905-5 (81) ,Winter 2018 Bidding Phase I ,KIEI ,Evanston ,Wed 6:30PM - 9:30PM ,9 ,100 ,9 ,9 ,9 ,Evening ,0 ,0
Introduction to Software Development ,Winter 2018 ,"Cohen, Jeffrey" ,KIEI-924-0 (30) ,Winter 2018 Bidding Phase I ,KIEI ,Chicago ,Wed 6:00PM - 9:00PM ,7 ,100 ,7 ,7 ,7 ,Full-Time ,0 ,0
Personal Leadership Insights ,Winter 2018 ,"Corona, Paul" ,KACI-461-5 (63) ,Winter 2018 Bidding Phase I ,KACI ,Evanston ,Thu 1:30PM - 3:00PM ,15 ,100 ,12 ,12 ,12 ,Full-Time ,3 ,0
New Venture Discovery ,Winter 2018 ,"Eschbach, Jeffrey" ,KIEI-462-0 (70) ,Winter 2018 Bidding Phase I ,KIEI ,Chicago ,Sat 1:30PM - 4:30PM ,25 ,100 ,25 ,25 ,25 ,Weekend ,0 ,0
Finance II ,Winter 2018 ,"Matsa, David" ,FINC-431-0 (62) ,Winter 2018 Bidding Phase I ,FINC ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,69 ,100 ,50 ,50 ,50 ,Full-Time ,19 ,0
Health and Human Rights ,Winter 2018 ,"Citro, Brian" ,KPPI-933-0 (30) ,Winter 2018 Bidding Phase I ,KPPI ,Chicago ,Mon 6:00PM - 9:00PM ,8 ,100 ,8 ,8 ,8 ,Evening ,0 ,0
The Economics of Energy Markets ,Winter 2018 ,"Busse, Meghan" ,STRT-958-5 (30) ,Winter 2018 Bidding Phase I ,STRT ,Chicago ,Mon 6:00PM - 9:00PM ,2 ,100 ,2 ,2 ,2 ,Weekend ,0 ,0
Strategy Beyond Markets ,Winter 2018 ,"Minor, Dylan" ,KPPI-441-0 (80) ,Winter 2018 Bidding Phase I ,KPPI ,Evanston ,Fri 1:30PM - 4:30PM ,4 ,100 ,4 ,4 ,4 ,Weekend ,0 ,0
Entrepreneurship Through Acquisition ,Winter 2018 ,"Schneider, Alexander" ,KIEI-905-5 (81) ,Winter 2018 Bidding Phase I ,KIEI ,Evanston ,Wed 6:30PM - 9:30PM ,71 ,99 ,54 ,56 ,54 ,Full-Time ,17 ,0
Recruiting & Retaining Talent in Growth Companies ,Winter 2018 ,"Hyman, Jeffrey" ,KIEI-927-5 (61) ,Winter 2018 Bidding Phase I ,KIEI ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,109 ,95 ,68 ,70 ,68 ,Full-Time ,41 ,0
Strategic Decisions in Operations ,Winter 2018 ,"Van Mieghem, Jan" ,OPNS-454-0 (62) ,Winter 2018 Bidding Phase II ,OPNS ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,14 ,75 ,10 ,60 ,10 ,Full-Time ,3 ,0
Healthcare Strategy ,Winter 2018 ,"Garthwaite, Craig" ,STRT-443-0 (30) ,Winter 2018 Bidding Phase II ,STRT ,Chicago ,Thu 6:00PM - 9:00PM ,11 ,60 ,9 ,42 ,9 ,Evening ,2 ,0
Managing Firms for Shareholders and Society: Thought Leadership Seminar ,Winter 2018 ,"Matsa, David" ,FINC-484-5 (62) ,Winter 2018 Bidding Phase I ,FINC ,Evanston ,Tue/Fri 1:30PM - 3:00PM ,24 ,51 ,20 ,20 ,20 ,Full-Time ,4 ,0
International Business Strategy ,Winter 2018 ,"Levy, Philip" ,STRT-460-0 (70) ,Winter 2018 Bidding Phase I ,STRT ,Chicago ,Wed 6:00PM - 9:00PM ,67 ,50 ,60 ,60 ,60 ,Evening ,7 ,0
Strategic Communication for Organizations ,Winter 2018 ,"Carroll, Shana" ,KACI-915-5 (70) ,Winter 2018 Bidding Phase I ,KACI ,Chicago ,Thu 6:00PM - 9:00PM ,40 ,50 ,36 ,36 ,36 ,Evening ,4 ,0
Leading and Managing Teams ,Winter 2018 ,"Kouchaki, Maryam" ,MORS-460-0 (70) ,Winter 2018 Bidding Phase I ,MORS ,Chicago ,Sat 9:00AM - 12:00PM ,36 ,50 ,36 ,36 ,36 ,Weekend ,0 ,0
Managerial Accounting ,Winter 2018 ,"Walther, Beverly" ,ACCT-431-0 (62) ,Winter 2018 Bidding Phase I ,ACCT ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,90 ,50 ,64 ,65 ,64 ,Full-Time ,12 ,0
Entrepreneurial Selling ,Winter 2018 ,"Wortmann, Craig" ,KIEI-966-0 (70) ,Winter 2018 Bidding Phase II ,KIEI ,Chicago ,Mon 6:00PM - 9:00PM ,7 ,50 ,7 ,12 ,7 ,Weekend ,0 ,0
Operations Management ,Winter 2018 ,"Uckun Adelman, Canan" ,OPNS-430-0 (71) ,Winter 2018 Bidding Phase I ,OPNS ,Chicago ,Tue 6:00PM - 9:00PM ,87 ,29 ,65 ,65 ,65 ,Evening ,22 ,0
Data Exploration ,Winter 2018 ,"McDonald, Robert" ,DECS-922-5 (61) ,Winter 2018 Bidding Phase I ,DECS ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,57 ,26 ,38 ,40 ,38 ,Full-Time ,14 ,0
Medical Technology Financing and Commercialization ,Winter 2018 ,"Arnold, Katie" ,KIEI-911-0 (80) ,Winter 2018 Bidding Phase I ,KIEI ,Evanston ,Fri 1:30PM - 4:30PM ,27 ,26 ,20 ,20 ,20 ,Full-Time ,7 ,0
Medical Technology Financing and Commercialization ,Winter 2018 ,"Norton, Evan" ,KIEI-911-0 (80) ,Winter 2018 Bidding Phase I ,KIEI ,Evanston ,Fri 1:30PM - 4:30PM ,27 ,26 ,20 ,20 ,20 ,Full-Time ,7 ,0
Marketing Management ,Winter 2018 ,"Hennessy, Julie" ,MKTG-430-0 (61) ,Winter 2018 Bidding Phase I ,MKTG ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,79 ,25 ,70 ,70 ,70 ,Full-Time ,5 ,0
Strategic Communication for Organizations ,Winter 2018 ,"Carroll, Shana" ,KACI-915-5 (70) ,Winter 2018 Bidding Phase I ,KACI ,Chicago ,Thu 6:00PM - 9:00PM ,4 ,23 ,4 ,4 ,4 ,Weekend ,0 ,0
Marketing Strategy for Growth and Defense ,Winter 2018 ,"Calkins, Timothy" ,MKTG-466-0 (70) ,Winter 2018 Bidding Phase I ,MKTG ,Chicago ,Wed 6:00PM - 9:00PM ,7 ,20 ,7 ,7 ,7 ,Weekend ,0 ,0
International Business Strategy ,Winter 2018 ,"Levy, Philip" ,STRT-460-0 (70) ,Winter 2018 Bidding Phase I ,STRT ,Chicago ,Wed 6:00PM - 9:00PM ,5 ,20 ,5 ,5 ,5 ,Weekend ,0 ,0
Managerial Leadership ,Winter 2018 ,"Kraemer, Harry" ,KACI-468-0 (91) ,Winter 2018 Bidding Phase I ,KACI ,Evanston ,Wed 6:30PM - 9:30PM ,73 ,18 ,67 ,70 ,67 ,Full-Time ,6 ,0
Data Exploration ,Winter 2018 ,"McDonald, Robert" ,DECS-922-5 (70) ,Winter 2018 Bidding Phase II ,DECS ,Chicago ,Mon 6:00PM - 9:00PM ,6 ,15 ,5 ,36 ,5 ,Evening ,1 ,0
Strategic Challenges in Emerging Markets ,Winter 2018 ,"Morjaria, Ameet" ,STRT-466-0 (70) ,Winter 2018 Bidding Phase I ,STRT ,Chicago ,Sat 9:00AM - 12:00PM ,25 ,10 ,25 ,25 ,25 ,Evening ,0 ,0
The Economics of Energy Markets ,Winter 2018 ,"Busse, Meghan" ,STRT-958-5 (61) ,Winter 2018 Bidding Phase I ,STRT ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,47 ,10 ,44 ,45 ,44 ,Full-Time ,3 ,0
Capital Markets ,Winter 2018 ,"Dew-Becker, Ian" ,FINC-950-0 (62) ,Winter 2018 Bidding Phase I ,FINC ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,52 ,9 ,48 ,50 ,48 ,Full-Time ,3 ,0
Personal Leadership Insights ,Winter 2018 ,"Ellington Booth, Brenda" ,KACI-461-5 (64) ,Winter 2018 Bidding Phase I ,KACI ,Evanston ,Mon 1:30PM - 3:00PM ,12 ,6 ,12 ,12 ,12 ,Full-Time ,0 ,0
Operations Management ,Winter 2018 ,"Lariviere, Martin" ,OPNS-430-0 (62) ,Winter 2018 Bidding Phase II ,OPNS ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,20 ,4 ,19 ,68 ,19 ,Full-Time ,1 ,0
The Economics of Energy Markets ,Winter 2018 ,"Busse, Meghan" ,STRT-958-5 (30) ,Winter 2018 Bidding Phase I ,STRT ,Chicago ,Mon 6:00PM - 9:00PM ,9 ,2 ,9 ,9 ,9 ,Full-Time ,0 ,0
Real Estate Finance and Investments ,Winter 2018 ,"Nathanson, Charles" ,FINC-454-0 (30) ,Winter 2018 Bidding Phase I ,FINC ,Chicago ,Wed 6:00PM - 9:00PM ,47 ,1 ,47 ,47 ,47 ,Evening ,0 ,0
Public Economics for Business Leaders: Federal Policy ,Winter 2018 ,"Besanko, David" ,KPPI-470-0 (62) ,Winter 2018 Bidding Phase I ,KPPI ,Evanston ,Tue/Fri 3:30PM - 5:00PM ,65 ,1 ,65 ,65 ,65 ,Full-Time ,0 ,0
Leader Development Models and Practices ,Winter 2018 ,"Banks, Bernard" ,KACI-930-5 (61) ,Winter 2018 Bidding Phase I ,KACI ,Evanston ,Tue 1:30PM - 4:30PM ,36 ,1 ,35 ,36 ,35 ,Full-Time ,1 ,0
eCommerce and Digital Marketing ,Winter 2018 ,"Chernoff, Josh" ,MKTG-957-0 (81) ,Winter 2018 Bidding Phase I ,MKTG ,Evanston ,Thu 6:30PM - 9:30PM ,38 ,1 ,32 ,32 ,32 ,Full-Time ,6 ,0
Entrepreneurial Tools for Digital Marketing ,Winter 2018 ,"Johnson, Sean" ,MKTG-961-5 (81) ,Winter 2018 Bidding Phase I ,MKTG ,Evanston ,Thu 6:30PM - 9:30PM ,57 ,1 ,57 ,60 ,57 ,Full-Time ,0 ,0
Marketing Strategy for Growth and Defense ,Winter 2018 ,"Hennessy, Julie" ,MKTG-466-0 (80) ,Winter 2018 Bidding Phase I ,MKTG ,Evanston ,Thu 6:30PM - 9:30PM ,54 ,1 ,54 ,57 ,54 ,Full-Time ,0 ,0
Marketing Strategy for Growth and Defense ,Winter 2018 ,"Hennessy, Julie" ,MKTG-466-0 (80) ,Winter 2018 Bidding Phase I ,MKTG ,Evanston ,Thu 6:30PM - 9:30PM ,8 ,1 ,8 ,8 ,8 ,Evening ,0 ,0
Finance I ,Winter 2018 ,"Nelson Mondragon, John" ,FINC-430-0 (71) ,Winter 2018 Bidding Phase I ,FINC ,Chicago ,Thu 6:00PM - 9:00PM ,68 ,1 ,65 ,65 ,65 ,Evening ,3 ,0
Managerial Accounting ,Winter 2018 ,"Walther, Beverly" ,ACCT-431-0 (61) ,Winter 2018 Bidding Phase II ,ACCT ,Evanston ,Mon/Thu 8:30AM - 10:00AM ,15 ,1 ,14 ,65 ,14 ,Full-Time ,1 ,0
International Business Strategy ,Winter 2018 ,"Levy, Philip" ,STRT-460-0 (61) ,Winter 2018 Bidding Phase I ,STRT ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,68 ,1 ,62 ,65 ,62 ,Full-Time ,6 ,0
Financial Decisions ,Winter 2018 ,"Benmelech, Efraim" ,FINC-442-0 (62) ,Winter 2018 Bidding Phase I ,FINC ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,48 ,1 ,48 ,50 ,48 ,Full-Time ,0 ,0
Operations Management ,Winter 2018 ,"Lariviere, Martin" ,OPNS-430-0 (61) ,Winter 2018 Bidding Phase I ,OPNS ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,83 ,1 ,68 ,68 ,68 ,Full-Time ,11 ,0
Financial Strategy and Tax ,Winter 2018 ,"Petersen, Mitchell" ,FINC-447-0 (80) ,Winter 2018 Bidding Phase I ,FINC ,Evanston ,Mon 6:30PM - 9:30PM ,7 ,1 ,7 ,7 ,7 ,Evening ,0 ,0
Financial Strategy and Tax ,Winter 2018 ,"Petersen, Mitchell" ,FINC-447-0 (80) ,Winter 2018 Bidding Phase I ,FINC ,Evanston ,Mon 6:30PM - 9:30PM ,61 ,1 ,57 ,57 ,57 ,Full-Time ,4 ,0
Health and Human Rights ,Winter 2018 ,"Citro, Brian" ,KPPI-933-0 (30) ,Winter 2018 Bidding Phase I ,KPPI ,Chicago ,Mon 6:00PM - 9:00PM ,6 ,1 ,6 ,6 ,6 ,Full-Time ,0 ,0
Leading and Managing Teams ,Winter 2018 ,"Kouchaki, Maryam" ,MORS-460-0 (80) ,Winter 2018 Bidding Phase II ,MORS ,Evanston ,Fri 1:30PM - 4:30PM ,11 ,1 ,9 ,32 ,9 ,Full-Time ,2 ,0
Beyond Diversity: The Fundamentals of Inclusive Leadership ,Winter 2018 ,"Pearce, Nicholas" ,MORS-462-5 (81) ,Winter 2018 Bidding Phase II ,MORS ,Evanston ,Wed 6:30PM - 9:30PM ,0 ,0 ,0 ,32 ,0 ,Full-Time ,0 ,0
Beyond Diversity: The Fundamentals of Inclusive Leadership ,Winter 2018 ,"Pearce, Nicholas" ,MORS-462-5 (81) ,Winter 2018 Bidding Phase II ,MORS ,Evanston ,Wed 6:30PM - 9:30PM ,0 ,0 ,0 ,4 ,0 ,Evening ,0 ,0
The Education Industry ,Winter 2018 ,"Kothari, Pranav" ,KPPI-454-5 (80) ,Winter 2018 Bidding Phase I ,KPPI ,Evanston ,Wed 6:30PM - 9:30PM ,1 ,0 ,3 ,3 ,1 ,Weekend ,0 ,2
The Education Industry ,Winter 2018 ,"Kothari, Pranav" ,KPPI-454-5 (80) ,Winter 2018 Bidding Phase II ,KPPI ,Evanston ,Wed 6:30PM - 9:30PM ,0 ,0 ,2 ,3 ,0 ,Weekend ,0 ,2
The Education Industry ,Winter 2018 ,"Kothari, Pranav" ,KPPI-454-5 (80) ,Winter 2018 Bidding Phase I ,KPPI ,Evanston ,Wed 6:30PM - 9:30PM ,26 ,0 ,53 ,55 ,26 ,Full-Time ,0 ,27
The Education Industry ,Winter 2018 ,"Kothari, Pranav" ,KPPI-454-5 (80) ,Winter 2018 Bidding Phase II ,KPPI ,Evanston ,Wed 6:30PM - 9:30PM ,15 ,0 ,29 ,55 ,15 ,Full-Time ,0 ,14
The Education Industry ,Winter 2018 ,"Kothari, Pranav" ,KPPI-454-5 (80) ,Winter 2018 Bidding Phase I ,KPPI ,Evanston ,Wed 6:30PM - 9:30PM ,0 ,0 ,7 ,7 ,0 ,Evening ,0 ,7
The Education Industry ,Winter 2018 ,"Kothari, Pranav" ,KPPI-454-5 (80) ,Winter 2018 Bidding Phase II ,KPPI ,Evanston ,Wed 6:30PM - 9:30PM ,2 ,0 ,7 ,7 ,2 ,Evening ,0 ,5
Entrepreneurship Through Acquisition ,Winter 2018 ,"Schneider, Alexander" ,KIEI-905-5 (81) ,Winter 2018 Bidding Phase II ,KIEI ,Evanston ,Wed 6:30PM - 9:30PM ,0 ,0 ,0 ,56 ,0 ,Full-Time ,0 ,0
Introduction to Software Development ,Winter 2018 ,"Cohen, Jeffrey" ,KIEI-924-0 (30) ,Winter 2018 Bidding Phase I ,KIEI ,Chicago ,Wed 6:00PM - 9:00PM ,4 ,0 ,5 ,5 ,4 ,Weekend ,0 ,1
Introduction to Software Development ,Winter 2018 ,"Cohen, Jeffrey" ,KIEI-924-0 (30) ,Winter 2018 Bidding Phase II ,KIEI ,Chicago ,Wed 6:00PM - 9:00PM ,0 ,0 ,1 ,5 ,0 ,Weekend ,0 ,1
Introduction to Software Development ,Winter 2018 ,"Cohen, Jeffrey" ,KIEI-924-0 (30) ,Winter 2018 Bidding Phase I ,KIEI ,Chicago ,Wed 6:00PM - 9:00PM ,24 ,0 ,38 ,38 ,24 ,Evening ,0 ,14
Introduction to Software Development ,Winter 2018 ,"Cohen, Jeffrey" ,KIEI-924-0 (30) ,Winter 2018 Bidding Phase II ,KIEI ,Chicago ,Wed 6:00PM - 9:00PM ,8 ,0 ,15 ,38 ,8 ,Evening ,0 ,7
Real Estate Finance and Investments ,Winter 2018 ,"Nathanson, Charles" ,FINC-454-0 (30) ,Winter 2018 Bidding Phase I ,FINC ,Chicago ,Wed 6:00PM - 9:00PM ,6 ,0 ,9 ,9 ,6 ,Weekend ,0 ,3
Real Estate Finance and Investments ,Winter 2018 ,"Nathanson, Charles" ,FINC-454-0 (30) ,Winter 2018 Bidding Phase II ,FINC ,Chicago ,Wed 6:00PM - 9:00PM ,0 ,0 ,3 ,9 ,0 ,Weekend ,0 ,3
Business Strategy ,Winter 2018 ,"Hubbard, Thomas" ,STRT-431-0 (72) ,Winter 2018 Bidding Phase I ,STRT ,Chicago ,Wed 6:00PM - 9:00PM ,37 ,0 ,65 ,65 ,37 ,Evening ,0 ,28
Business Strategy ,Winter 2018 ,"Hubbard, Thomas" ,STRT-431-0 (72) ,Winter 2018 Bidding Phase II ,STRT ,Chicago ,Wed 6:00PM - 9:00PM ,9 ,0 ,28 ,65 ,9 ,Evening ,0 ,19
Real Estate Finance and Investments ,Winter 2018 ,"Nathanson, Charles" ,FINC-454-0 (30) ,Winter 2018 Bidding Phase I ,FINC ,Chicago ,Wed 6:00PM - 9:00PM ,6 ,0 ,9 ,9 ,6 ,Full-Time ,0 ,3
Real Estate Finance and Investments ,Winter 2018 ,"Nathanson, Charles" ,FINC-454-0 (30) ,Winter 2018 Bidding Phase II ,FINC ,Chicago ,Wed 6:00PM - 9:00PM ,2 ,0 ,4 ,9 ,2 ,Full-Time ,0 ,2
Real Estate Finance and Investments ,Winter 2018 ,"Nathanson, Charles" ,FINC-454-0 (30) ,Winter 2018 Bidding Phase II ,FINC ,Chicago ,Wed 6:00PM - 9:00PM ,2 ,0 ,5 ,47 ,2 ,Evening ,0 ,3
Business Analytics II ,Winter 2018 ,"Sandroni, Alvaro" ,DECS-431-0 (71) ,Winter 2018 Bidding Phase I ,DECS ,Chicago ,Wed 6:00PM - 9:00PM ,25 ,0 ,65 ,65 ,25 ,Evening ,0 ,40
Business Analytics II ,Winter 2018 ,"Sandroni, Alvaro" ,DECS-431-0 (71) ,Winter 2018 Bidding Phase II ,DECS ,Chicago ,Wed 6:00PM - 9:00PM ,8 ,0 ,41 ,65 ,8 ,Evening ,0 ,33
Finance I ,Winter 2018 ,"Korajczyk, Robert" ,FINC-430-0 (63) ,Winter 2018 Bidding Phase I ,FINC ,Evanston ,Tue/Fri 8:30AM - 10:00AM ,29 ,0 ,65 ,65 ,29 ,Full-Time ,0 ,36
Finance I ,Winter 2018 ,"Korajczyk, Robert" ,FINC-430-0 (63) ,Winter 2018 Bidding Phase II ,FINC ,Evanston ,Tue/Fri 8:30AM - 10:00AM ,2 ,0 ,37 ,65 ,2 ,Full-Time ,0 ,35
